schema_version,method_id,config_id,corruption_probability,candidate_budget,ambiguous_wrong_acceptance_rate
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.05,64,0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.05,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.1,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.15,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.0,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.01,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.03,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.05,32,0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.05,64,0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.05,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.1,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B4_binary_exact_scan,faiss_binary_exact_hamming,0.15,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.0,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.01,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.03,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.05,32,0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.05,64,0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.05,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.1,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B5_binary_hnsw,binary_hnsw_ef64,0.15,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.0,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.01,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.03,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.05,32,0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.05,64,0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.05,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.1,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B6_binary_multi_hash,bmh_b10_h4_f1,0.15,100,0
